Informazioni cronologiche,"Quando senti parlare di Intelligenza Artificiale, cosa ti viene in mente? ",ai_knowledge,from_social_media,from_papers,from_news,from_courses,AI_knowledge_1,generative_AI_knowledge,ML_knowledge,DL_knowledge,LLM_knowledge,use_to_knowledge,human_bias_strength,ai_boredom,ai_minority_underrapresentation,ai_reality_distortion,data_bias,ai_human_comprehension_distance,ai_feefback_loop_bias,ai_artificial_patterns,ai_loss_of_diversity,ai_human_reasoning_simulation,tool_chatbots,tool_image_generation,tool_voice_assistants,tool_productivity,tool_recommendation,purpose_text_generation,purpose_customer_support,purpose_translation,purpose_text_analysis_synthesis,purpose_education,purpose_code_generation,purpose_research_experimentation,purpose_creativity_entertainment,purpose_data_analysis_forecasting,purpose_professional_consulting,paid_for_ai_tool,monthly_ai_sub_cost,In cosa pensi l'AI sia particolarmente efficace?,In cosa pensi l'AI abbia ancora tanta strada da fare?,Quali ulteriori funzionalità vorresti vedere applicata in un AI Generativa?  ,most_used_ai_chatgpt,most_used_ai_claude,most_used_ai_mistral,most_used_ai_gemini,most_used_ai_llama,most_used_ai_copilot,most_used_ai_grok,benefit_time_optimization,benefit_knowledge_expansion,benefit_skills_development,benefit_creativity,benefit_accuracy,disadv_job_loss,disadv_privacy_loss,disadv_power_concentration,disadv_bias_discrimination,disadv_algorithmic_transparency,disadv_tech_dependency,disadv_superintelligence,disadv_deepfake_disinfo,disadv_human_relationships,disadv_human_skills,disadv_automated_decisions,disadv_environmental_impact,disadv_military_use,sector_customer_service,sector_data_entry,sector_journalism,sector_manufacturing,sector_transport_logistics,sector_healthcare,sector_education,sector_graphics_design,sector_translation,sector_digital_marketing,sector_accounting,sector_legal,sector_retail,sector_human_resources,sector_music_production,sector_programming,sector_entertainment,sector_security,sector_finance,sector_fitness,sector_caregiving,work_instructions_from_ai,role_risk_customer_service,role_risk_data_entry,role_risk_journalism,role_risk_manufacturing,role_risk_transport_logistics,role_risk_healthcare,role_risk_education,role_risk_graphics_design,role_risk_translation,role_risk_digital_marketing,role_risk_accounting,role_risk_legal,role_risk_retail,role_risk_human_resources,role_risk_music_production,role_risk_programming,role_risk_entertainment,role_risk_security,role_risk_fitness,role_risk_caregiving,liability_medical_diagnosis,liability_autonomous_driving,liability_judicial_decisions,liability_loan_approval,liability_hiring_firing,liability_student_evaluation,ai_black_box_control,concern_deepfake_disinfo,institutional_intervention,overall_experience,age,gender,education_level,current_occupation,Settore di lavoro o studio(se applicabile): ,geographic_area
18/12/2024 18.35.16,Un procedimento informatico molto complesso,2,1.0,3.0,4.0,1.0,3.0,3.0,3.0,2.0,1.0,3,4.0,2.0,5.0,5.0,4.0,Preoccupazione significativa,Preoccupazione moderata,Preoccupazione significativa,Preoccupazione limitata,3,3.0,2.0,4.0,4.0,1.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,nella creazione di immagini fantasiose,nella introduzione di elementi di novità,non lo so,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,2.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,4.0,5.0,5.0,4.0,5.0,3.0,2.0,3.0,4.0,4.0,3.0,5.0,3.0,2.0,2.0,4.0,5.0,4.0,2.0,3.0,2.0,2.0,3.0,4.0,5.0,4.0,5.0,2.0,1.0,Utente/Professionista che usa l'AI,Azienda sviluppatrice AI,Il governo o gli enti di regolamentazione,Azienda che usa l'AI,Azienda che usa l'AI,Azienda che usa l'AI,2.0,1.0,5,4.0,6.0,Maschile,6.0,Dipendente,Finanza / Economia,Nord Italia
19/12/2024 9.38.10,chatgpt,2,5.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,5,4.0,2.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,3,4.0,1.0,4.0,3.0,5.0,2.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,1.0,1.0,risolvere qualsiasi genere di dubbio ,affinare le risposte ,al momento non saprei,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,1.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,1.0,2.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,1.0,4.0,5.0,3.0,5.0,4.0,3.0,3.0,5.0,3.0,2.0,2.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,Combinazione di tutti gli autori coinvolti,3.0,5.0,5,4.0,2.0,Femminile,4.0,Studente,Educazione / Formazione,Nord Italia
19/12/2024 10.02.40,Chat GPT,3,4.0,1.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,3,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4,5.0,3.0,5.0,1.0,5.0,5.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,Aiuto compiti quotidiani ,Foto e video,Non so,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,3.0,3.0,3,5.0,2.0,Femminile,5.0,Libero professionista,Commercio / Vendite,Estero
19/12/2024 11.54.46,Principalmente ChatGPT ,4,4.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,1.0,2,2.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,3,4.0,3.0,3.0,2.0,4.0,5.0,3.0,1.0,4.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,L‘AI è particolarmente efficace nella sintesi di file di piccole dimensioni e ricerca di dati ,Vi sono grandi passi da fare nell’ambito della generazione di immagini e nell’ umanizzazione dei testi generati ,Non lo so ,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,1.0,2.0,4.0,2.0,5.0,3.0,2.0,4.0,4.0,5.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,5.0,5.0,4.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,4.0,1.0,1.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,4.0,5.0,4.0,3.0,2.0,3.0,1.0,2.0,4.0,3.0,3.0,1.0,1.0,Combinazione di tutti gli autori coinvolti,Azienda sviluppatrice AI,Combinazione di tutti gli autori coinvolti,Utente/Professionista che usa l'AI,Azienda che usa l'AI,Utente/Professionista che usa l'AI,3.0,4.0,4,5.0,2.0,Maschile,4.0,Studente,Ingegneria / Produzione,Nord Italia
19/12/2024 12.06.52,Uno strumento di creazione e supporto per attività quotidiane e non ,2,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,5,3.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,4,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,Velocità di calcolo,Non lo so,Interazione nel sistema operativo ios ( sviluppato maggiormente),4.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,Azienda sviluppatrice AI,Azienda sviluppatrice AI,Azienda sviluppatrice AI,Azienda sviluppatrice AI,Azienda sviluppatrice AI,Azienda sviluppatrice AI,2.0,3.0,3,4.0,2.0,Maschile,5.0,Dipendente,Commercio / Vendite,Nord Italia
19/12/2024 14.46.14,Chatgpt,2,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2,2.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2,2.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,5.0,I,I,I,1.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,Azienda sviluppatrice AI,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,Utente/Professionista che usa l'AI,Azienda sviluppatrice AI,3.0,1.0,4,5.0,4.0,Femminile,1.0,Libero professionista,Commercio / Vendite,Nord Italia
19/12/2024 14.53.06,ChatGpt,2,4.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,4,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,3,5.0,4.0,4.0,2.0,5.0,4.0,4.0,5.0,2.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,2.0,Se utilizzata bene permette di risparmiare molto tempo in molti casi,Ambito matematico ho notato che commette spesso degli errori,Non ho suggerimenti a riguardo,5.0,1.0,1.0,3.0,1.0,3.0,1.0,5.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,5.0,4.0,5.0,5.0,3.0,2.0,2.0,4.0,2.0,5.0,5.0,2.0,2.0,3.0,5.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,5.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,1.0,4.0,3.0,3.0,Azienda che usa l'AI,Azienda sviluppatrice AI,Azienda che usa l'AI,Azienda sviluppatrice AI,Azienda che usa l'AI,Azienda che usa l'AI,3.0,4.0,2,4.0,2.0,Maschile,5.0,Libero professionista,Finanza / Economia,Nord Italia
19/12/2024 14.56.36,Chatgpt,3,3.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,4,2.0,4.0,4.0,2.0,4.0,2.0,3.0,1.0,4.0,2,5.0,5.0,5.0,3.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0,5.0,1.0,2.0,2.0,2.0,Rispondere a domande ,Generazione di testo informali ,Più umanità ,5.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,4.0,5.0,5.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,5.0,4.0,1.0,1.0,2.0,1.0,4.0,2.0,4.0,2.0,1.0,2.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,Utente/Professionista che usa l'AI,Il governo o gli enti di regolamentazione,Il governo o gli enti di regolamentazione,Azienda che usa l'AI,Azienda che usa l'AI,Il governo o gli enti di regolamentazione,3.0,5.0,4,4.0,2.0,Maschile,4.0,Studente,Finanza / Economia,Nord Italia
19/12/2024 15.00.11,Chatgpt ,2,5.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,5,3.0,1.0,2.0,4.0,5.0,5.0,3.0,4.0,3.0,4,4.0,1.0,4.0,3.0,5.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,A risolvere cose per cui l’uomo impiegherebbe troppo tempo ,Sostituzione del pensiero umano ,empatia,5.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,3.0,5.0,2.0,5.0,2.0,1.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,1.0,5.0,4.0,5.0,1.0,5.0,2.0,5.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,3.0,Azienda sviluppatrice AI,Azienda sviluppatrice AI,Azienda sviluppatrice AI,Azienda sviluppatrice AI,Azienda sviluppatrice AI,Azienda sviluppatrice AI,2.0,5.0,5,3.0,2.0,Femminile,4.0,Studente,Educazione / Formazione,Nord Italia
19/12/2024 15.05.13,Futuro,3,5.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5,4.0,2.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,2,5.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,2.0,1.0,1.0,Tutto ciò che è scentifico,Lato umano,Più precisione,5.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,1.0,4.0,5.0,5.0,5.0,4.0,2.0,2.0,3.0,5.0,5.0,3.0,1.0,1.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,1.0,Combinazione di tutti gli autori coinvolti,Azienda che usa l'AI,Il governo o gli enti di regolamentazione,Azienda sviluppatrice AI,Azienda che usa l'AI,Il governo o gli enti di regolamentazione,3.0,4.0,4,3.0,2.0,Maschile,4.0,Studente,Tecnologia / IT,Nord Italia
