,overall_experience,Knowledge,Bias,Tools_Purpose,Benefit,Disadvantages,Sector,RoleRisk,age,education_level,most_used_ai_chatgpt,most_used_ai_not_chatgpt,work_instructions_from_ai,ai_black_box_control
0,1,2,1,0,1,0,1,2,6.0,6.0,2.0,1.0,4.0,2.0
1,1,2,1,0,2,1,0,0,2.0,4.0,5.0,1.0,5.0,3.0
2,1,2,0,1,1,1,0,1,2.0,5.0,5.0,1.0,5.0,3.0
3,1,1,0,1,2,1,2,1,2.0,4.0,5.0,1.0,2.0,3.0
4,1,2,0,2,1,1,0,0,2.0,5.0,4.0,1.1666666666666667,5.0,2.0
5,1,0,2,2,0,1,2,1,4.0,1.0,1.0,2.0,3.0,3.0
6,1,2,0,0,2,2,1,0,2.0,5.0,5.0,1.6666666666666667,3.0,3.0
7,1,2,1,0,2,1,2,1,2.0,4.0,5.0,1.5,3.0,3.0
8,0,2,0,2,2,2,1,0,2.0,4.0,5.0,1.6666666666666667,2.0,2.0
9,0,1,1,0,1,1,1,2,2.0,4.0,5.0,2.0,3.0,3.0
10,1,0,0,1,2,1,2,1,3.0,5.0,4.0,1.8333333333333333,4.0,1.0
11,1,0,2,2,2,2,1,0,6.0,4.0,2.0,1.0,1.0,2.0
12,0,2,0,0,0,2,0,0,1.0,4.0,5.0,1.8333333333333333,3.0,2.0
13,1,1,1,1,2,1,1,0,3.0,6.0,5.0,1.8333333333333333,4.0,2.0
14,0,0,1,2,2,0,1,2,2.0,4.0,3.0,2.8333333333333335,4.0,1.0
15,1,2,0,2,2,2,2,2,3.0,4.0,2.0,1.1666666666666667,2.0,3.0
16,0,0,2,2,2,1,2,1,3.0,5.0,1.0,1.0,3.0,3.0
17,0,0,0,0,1,0,1,2,2.0,4.0,5.0,1.0,3.0,1.0
18,1,1,0,0,2,1,2,1,2.0,5.0,5.0,1.1666666666666667,2.0,2.0
19,1,1,1,0,2,2,1,1,2.0,5.0,5.0,2.5,4.0,2.0
20,1,1,2,1,1,0,2,2,1.0,3.0,4.0,2.8333333333333335,2.0,3.0
21,1,1,0,1,1,1,1,1,2.0,6.0,4.0,1.1666666666666667,4.0,3.0
22,1,2,1,1,1,2,1,2,3.0,6.0,4.0,1.3333333333333333,3.0,3.0
23,0,0,1,0,1,2,0,0,3.0,6.0,4.0,1.0,4.0,3.0
24,0,2,2,2,0,1,2,1,6.0,4.0,3.0,1.3333333333333333,2.0,2.0
25,1,2,1,0,2,2,1,2,3.0,4.0,4.0,1.0,3.0,3.0
26,0,1,1,1,2,1,1,1,3.0,6.0,4.0,1.3333333333333333,5.0,3.0
27,0,0,1,1,0,0,2,0,3.0,5.0,5.0,1.0,2.0,1.0
28,0,0,2,1,2,0,2,0,3.0,5.0,4.0,1.0,3.0,1.0
29,0,2,0,2,2,2,1,2,3.0,4.0,4.0,1.0,2.0,3.0
30,0,2,1,2,1,0,1,0,3.0,6.0,3.0,1.3333333333333333,3.0,3.0
31,1,1,1,0,2,1,1,1,2.0,5.0,5.0,3.3333333333333335,2.0,3.0
